source_file,csv_name,C:\Users\kschi\OneDrive\Desktop\Placards\TEST_SVGs\020NOBL_clean.svg,area,area_est,axis,bbox_area_sum,bin_center,check,commands,count,coverage_percent,def_id,file,fill,has_HV,href,id,index,kind_prop,opacity,rank,stroke,stroke_width,tag,value,vb_area
020NOBL_clean,elements.csv,,,500.07,,,,,M:1,,,,,none,0,,,139,,,,#000000,12.0,path,,
020NOBL_clean,elements.csv,,,52.39,,,,,M:1,,,,,none,0,,,140,,,,#000000,12.0,path,,
020NOBL_clean,elements.csv,,,2.53,,,,,M:1,,,,,none,0,,,141,,,,#000000,12.0,path,,
020NOBL_clean,elements.csv,,,168.97,,,,,M:1,,,,,none,0,,,142,,,,#000000,12.0,path,,
020NOBL_clean,elements.csv,,,60.19,,,,,M:1,,,,,none,0,,,143,,,,#000000,12.0,path,,
020NOBL_clean,elements.csv,,,4.91,,,,,M:1,,,,,none,0,,,144,,,,#000000,12.0,path,,
020NOBL_clean,elements.csv,,,2.53,,,,,M:1,,,,,none,0,,,145,,,,#000000,12.0,path,,
020NOBL_clean,elements.csv,,,,,,,,M:1 H:1,,,,,none,1,,,146,,,,#000000,12.0,path,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,147,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,148,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,149,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,150,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,151,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,152,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,153,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,154,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,155,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,156,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,157,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,158,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,159,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,160,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,161,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,162,,,,,,g,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,163,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,164,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,165,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,166,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,167,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,168,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,169,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,170,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,171,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,172,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,173,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,174,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,175,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,176,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,177,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,178,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,179,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,180,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,181,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,182,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,183,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,184,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,185,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,186,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,187,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,188,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,189,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,190,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,191,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,192,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,193,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,194,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,195,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,196,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,197,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,198,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,199,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,200,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,201,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,202,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,203,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,204,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,205,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,206,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,207,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,208,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,209,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,210,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,211,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,212,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,213,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,214,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,215,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,216,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,217,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,218,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,219,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,220,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,221,,,,,,use,,
