source_file,csv_name,C:\Users\kschi\OneDrive\Desktop\Placards\TEST_SVGs\264BOAT_clean.svg,area,area_est,axis,bbox_area_sum,bin_center,check,commands,count,coverage_percent,def_id,file,fill,has_HV,href,id,index,kind_prop,opacity,rank,stroke,stroke_width,tag,value,vb_area
264BOAT_clean,elements.csv,,,103.42,,,,,M:1 H:2 V:2,,,,,none,1,,,94,,,,#411f9e,12.0,path,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,95,,,,,,g,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,96,,,,,,g,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,97,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,98,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,99,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,100,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,101,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,102,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,103,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,104,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,105,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,106,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,107,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,108,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,109,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,110,,,,,,g,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,111,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,112,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,113,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,114,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,115,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,116,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,117,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,118,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,119,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,120,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,121,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,122,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,123,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,124,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,125,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,126,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,127,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,128,,,,,,use,,
